sentiment,text,user
-1,"RT @timand2037: #Ukrainian Regime Led by Media Darling Volodymyr #Zelensky Kidnaps Student Dissidents, Bans Opposition Parties, Shuts Down…","NoToAITyranny"
1,"RT @drsimonegold: WOW: The British Columbian government wants to require mothers who are denied an exemption to the COVID jab to pay back u…","JohnKetterer12"
1,"RT @Kutch2Kibithu: Found this very apt quote in the portals HC Wing of Army War College at Mhow. https://t.co/WrcpQ8Ebhs","LastCitizen07"
0,"@HugoThePinkCat Oh yeah, I remember that theory about his dad possibly being a traumatized war vet too since someon… https://t.co/ywNeV9fwjJ","Weddingglovesi1"
0,"RT @kkthvant: como war of hormone pode ser machista se o namjoon diz que é meu homem jungkook diz que mulheres são o melhor presente?","httpjiminkitty"
-1,"@realalexlains Before everyone jumps my shit with “not all Christians,” have you NOT been paying attention? Christi… https://t.co/qbC8TtTCaN","Pammonster1"
-1,"@Melhabtu Da fuq?! Are u insulting my elders now? B**** ur whole Tigray elders should stop sending their children f… https://t.co/zw6vBEPq0S","PiccoloRaffica"
0,"RT @nikobersabel: #humanity\n\n'Choose - I kill you or rape you': abuse accusations surge in Tigray Ethiopia's war. I urge you to assure\n…","ZewdiAbraha1"
1,"RT @jbrous41: Mans ready for brunch, the office and war.","cpuafricanpatna"
0,"RT @EL_Prinzipal: @FreifrauvonF @NancyFaeser Mir hat man auch mal ein Hakenkreuz in meinen Benz gekrazt.\n\nWer war's ? Linke \"alternative\" N…","DienerdesVolkes"
1,"RT @medyanews_: ✍️ In his latest article for Medya News, journalist Amed Dicle looks at #Syria as the final scene: Peace or eternal war wit…","AstroFizikMaho"
-1,"RT @davekatburger: I figured out what I dislike about Paw Patrol's tone.\n\nHalf the aesthetic and dialogue is written like it's meant for ad…","K0mmSusser_T0d"
-1,"My top 5 CBM:\n\nInfinity War\nTDK\nNWH\nThe Batman\nBatman Begins\n\nRank them in your liking and preference","KhamarSinclair"
0,"RT @BiafranTweets: RECORD: We call on the Human Rights Groups to take notes on this open Frontal War Confrontation in BIAFRA. In order to p…","enyinnaya_jude"
1,"RT @tojianduzuis: I knew Sakura was a top tier girlboss when she went to the war with wearing a miniskirt  https://t.co/cF6PgLLUfx","fareehajaved6"
0,"RT @Bolu_Adesina: I see America remains committed to the war on terror #LeeChe https://t.co/cMHJfJUAxP","Kachikwulu_"
0,"RT @GiGi49604929: 4/13\nUsing Rape as a Weapon of War in Tigray, where harrowing witness accounts have emerged of killing Tigrayan men &amp; boy…","Resla359"
0,"@antifa_nurse @Fianna_Saoirse Nun, gut eingesetzt, kann das ja sehr helfen, wenn man auch verschieden Gruppen anspr… https://t.co/FJIUu1lz7s","MaxiReimers"
-1,"Six months of hell in Ukraine: how Putin’s crazy war reached deadlock https://t.co/KGvOWtKASC","FlashBabboo"
-1,"RT @sophielouisecc: 5,000 Albanians have crossed the Channel in small boats so far this year, all 5000 of them should be deported or arrest…","TrutherTpp"
1,"RT @retiredC4: @CNN Her father is feeling the loss of his daughter like all the Ukrainian fathers who lost their love ones by the senseless…","oscarrs155"
0,"RT @APHClarkson: One of the risks of the Ukraine war for the Putin regime is that as it drags on and as pathways to nationalist goals get c…","chryslap"
0,"RT @Crypto_Dentist2: @0xlou_ Give them effort king its really simple and not enough founders are giving effort king. I shall leave you with…","0xlou_"
1,"RT @JohnRMoffitt: Republicans propose being forced to have your rapist's baby ... as some kind of therapy for teenage rape victims. The evi…","butwhatifitsall"
0,"@Ny69Son Auch das beim Dieselauto war nur Geld mache da die Herstellung von Diesel wesentlich billiger ist und ich… https://t.co/RHvZu3JgLT","HansStreichkaes"
0,"RT @ipobTamale: \n\nAs you mock the victims of abduction and killings that is happening in Nigeria. May those terrorists meet you and gene…","endsarsbot_"
0,"RT @GalaxyJUB: I REMEMBER YOU ✨\n\n#yinyin_anw #warwanarat\n#yinwarfanart https://t.co/DfOStRPpxE","tawan_war"
1,"@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more.","Dervesherobbani"
0,"@julee51eff @dfbschiris Was berechtigt das denn? Willst mich verarschen? DAS WAR DIE SELBE SITUATION EUCH WIRD SEIT… https://t.co/25MiFo3byJ","Chr1stianS04"
0,"RT @SamRamani2: During the 2008 Georgian War, Dugin believed that Russia made a mistake by not going all the way to Tbilisi and toppling Sa…","bowlin_dylan"
1,"RT @KajStenvall: This is from April 1, 2014 , ” Young Putin at Crimea ”, oil on board, 50 x 65 cm. #ukraina #ukraine #crimea #stopputin #wa…","helihorkko"
-1,"RT @ReviewReligions: Impacts of small-scale nuclear war:\n1. Local devastation\n2. Global famine\n\nHow can we avoid a nuclear winter?\n\n#War #N…","AMAWatford"
1,"RT @nikobersabel: \n#Justice4TigraysWomenAndGirls \n\nSexual violence as a weapon of war in Tigray: a call to Action.\n\nAt the yearly #Ashend…","ZewdiAbraha1"
0,"RT @DavidKevinDw3: 20\n#Justice4TigraysWomenAndGirls \n\nVideo shows the horror of #rape as a weapon of war in Ethiopia’s Tigray region.\n\nAt t…","TrRt37484495"
-1,"RT @SamRamani2: Darya Dugina, the daughter of Alexander Dugin, was killed today \n\nDugina's views on the Ukraine War mirrored her father's,…","mpcoreno"
0,"RT @Acyn: Tulsi: It’s never been about morality. It’s not about the people of Ukraine or protecting democracy. This is about regime change…","Spring_Pls2022"
-1,"@Schuldensuehner @BILDamSONNTAG Oh, gosh, where did it start to go wrong?\n@OlafScholz you were warned. Give immedia… https://t.co/X3PYMsNUWf","1chf140pts"
